title,company,location,link
[개발]E-Commerce 데이터 엔지니어/NLP개발자(정규직),위메프,대한민국,https://kr.indeed.com/rc/clk?jk=ab8b221932fe27ef&fccid=2f8799a5ef214646&vjs=3
[데이터사이언스팀]데이터 분석가/사이언티스트(신입/인턴 가능),쏘카,대한민국,https://kr.indeed.com/rc/clk?jk=be5650c60935269c&fccid=ebcd554962f400ec&vjs=3
[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,Ernst & Young,대한민국,https://kr.indeed.com/rc/clk?jk=a259874867f98a64&fccid=1544766d4c2915b0&vjs=3
[개발]CI/CD 엔지니어(정규직),위메프,대한민국,https://kr.indeed.com/rc/clk?jk=3d0cc83899a9b37f&fccid=2f8799a5ef214646&vjs=3
Python 신입/경력 정규직,포엔,대전 유성구,https://kr.indeed.com/rc/clk?jk=c0edceec4f1c07e2&fccid=3f086c20476ed682&vjs=3
Data Scientist,"Koniag, Inc.",대한민국,https://kr.indeed.com/rc/clk?jk=193bfe67eed05c31&fccid=e7c3a01d5926a6c0&vjs=3
AI/빅데이터 (리더급) 국내 대기업 new,국내 대기업,경기도,https://kr.indeed.com/rc/clk?jk=50bdcec0bd5965c1&fccid=8afed8d3882713e5&vjs=3
"2020년 11월 전지사업본부 경력사원 (R&D, R&D Staff, 사업개발 등)",LG화학,대전 유성구,https://kr.indeed.com/rc/clk?jk=3ea6ea076c87f16e&fccid=ab9729f091d64075&vjs=3
"Engr, Tech Supp 3",KLA-Tencor,대한민국,https://kr.indeed.com/rc/clk?jk=233bbfd9781e846d&fccid=c8fc142c28286059&vjs=3
"Design Consultant, Staff",Synopsys,대한민국,https://kr.indeed.com/rc/clk?jk=7e9a745cd8bdcbe3&fccid=6ce9eba87609c3e9&vjs=3
2021년도 국비 기술교육생,대한상공회의소 광주인력개발원,광주 광산구,https://kr.indeed.com/rc/clk?jk=39db5866372ca186&fccid=4746daf5fe536ea2&vjs=3
[데이터엔지니어링팀]데이터 엔지니어(신입/경력),쏘카,대한민국,https://kr.indeed.com/rc/clk?jk=bfb8daff72151803&fccid=ebcd554962f400ec&vjs=3
보훈대상자 인재 채용,네오위즈,대한민국,https://kr.indeed.com/rc/clk?jk=dfcb86f156623e5c&fccid=a4f571f3a628be3e&vjs=3
"Engr, Apps Dev 3",KLA-Tencor,대한민국,https://kr.indeed.com/rc/clk?jk=924d2b1d6678281a&fccid=c8fc142c28286059&vjs=3
글로벌 소셜카지노 부문 사업PM,네오위즈,대한민국,https://kr.indeed.com/rc/clk?jk=57140679f30ac86c&fccid=a4f571f3a628be3e&vjs=3
[기술기획] 클라우드 플랫폼 개발자,한국카카오은행,성남 분당구,https://kr.indeed.com/rc/clk?jk=1dbbfb5b488c142b&fccid=aea6a13a3459fdb2&vjs=3
경력직 인재 (본사업무지원/퀀트/홀세일/국내인덱스/금전채권신탁),하나금융투자,대한민국,https://kr.indeed.com/rc/clk?jk=624f3f747ce5812b&fccid=ba16c34c23da814d&vjs=3
"데이터 분석 및 컨설팅 분야 (Python, SAS, 빅데이터) 경력직",한국정보기술단,과천 과천시,https://kr.indeed.com/rc/clk?jk=89e690f22378dc43&fccid=99925e8e7b9604cc&vjs=3
[전문연구요원] 상시 (전직),네이버랩스,경기도,https://kr.indeed.com/rc/clk?jk=14b591547a3b9df5&fccid=d30455f17633cf87&vjs=3
Marketing Data Engineer,네오위즈,대한민국,https://kr.indeed.com/rc/clk?jk=e724ba500850af48&fccid=a4f571f3a628be3e&vjs=3
(대전) 국방 M&S 연구분석관,심네트,대전 유성구,https://kr.indeed.com/rc/clk?jk=e32de74ea6d1ab67&fccid=936d7f62c2f79f30&vjs=3
[해외취업 프로젝트] 글로벌 맞춤형 직무역량지원 프로그램 참가자,대전경제통상진흥원,대전 유성구,https://kr.indeed.com/rc/clk?jk=fc47753dde8d821c&fccid=dda236059275a689&vjs=3
솔루션 개발자,고도소프트,서울 구로구,https://kr.indeed.com/rc/clk?jk=ce97cc7e1904d7ff&fccid=f2b5a2a21d1b60eb&vjs=3
[해외취업] AI 엔지니어,株式会社ASCOM,대한민국,https://kr.indeed.com/rc/clk?jk=cdc69e78bbccefd3&fccid=92d637170be4b7cb&vjs=3
퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용,대한민국,https://kr.indeed.com/rc/clk?jk=9040dba1c8db2a5d&fccid=3e2ea46f3238fe0e&vjs=3
"[해외취업] 베리텍, 시스템개발자/응용프로그래머",에임하이글로벌,대한민국,https://kr.indeed.com/rc/clk?jk=3e2ccf374eae0c90&fccid=5255b60862755dbc&vjs=3
Data Scientist,Boston Consulting Group,서울,https://kr.indeed.com/rc/clk?jk=ce6747e77c861c46&fccid=b95f9eb47968fa13&vjs=3
